00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010001111001001110001110010000101110011101100010000011001001001000000001000011010000011001101010011001110011000011111110000100110011110111010000001000011010100011000111000101000001111000010010101101100100010001110000000010110001110000000000000000000

77 | 1 0 1 1 0 0 1 0 0  | 0
78 | 0 1 1 1 0 0 1 0 0  | 0
79 | 1 1 1 1 0 0 1 0 0  | 0
80 | 0 0 0 0 1 0 1 0 0  | 0
81 | 1 0 0 0 1 0 1 0 0  | 0
82 | 0 1 0 0 1 0 1 0 0  | 0
83 | 1 1 0 0 1 0 1 0 0  | 0
84 | 0 0 1 0 1 0 1 0 0  | 0
85 | 1 0 1 0 1 0 1 0 0  | 0
86 | 0 1 1 0 1 0 1 0 0  | 0
87 | 1 1 1 0 1 0 1 0 0  | 0
88 | 0 0 0 1 1 0 1 0 0  | 0
89 | 1 0 0 1 1 0 1 0 0  | 0
90 | 0 1 0 1 1 0 1 0 0  | 0
91 | 1 1 0 1 1 0 1 0 0  | 0
92 | 0 0 1 1 1 0 1 0 0  | 0
93 | 1 0 1 1 1 0 1 0 0  | 0
94 | 0 1 1 1 1 0 1 0 0  | 0
95 | 1 1 1 1 1 0 1 0 0  | 0
96 | 0 0 0 0 0 1 1 0 0  | 0
97 | 1 0 0 0 0 1 1 0 0  | 0
98 | 0 1 0 0 0 1 1 0 0  | 0
99 | 1 1 0 0 0 1 1 0 0  | 0
100 | 0 0 1 0 0 1 1 0 0  | 0
101 | 1 0 1 0 0 1 1 0 0  | 0
102 | 0 1 1 0 0 1 1 0 0  | 0
103 | 1 1 1 0 0 1 1 0 0  | 0
104 | 0 0 0 1 0 1 1 0 0  | 0
105 | 1 0 0 1 0 1 1 0 0  | 0
106 | 0 1 0 1 0 1 1 0 0  | 0
107 | 1 1 0 1 0 1 1 0 0  | 0
108 | 0 0 1 1 0 1 1 0 0  | 0
109 | 1 0 1 1 0 1 1 0 0  | 0
110 | 0 1 1 1 0 1 1 0 0  | 0
111 | 1 1 1 1 0 1 1 0 0  | 0
112 | 0 0 0 0 1 1 1 0 0  | 0
113 | 1 0 0 0 1 1 1 0 0  | 0
114 | 0 1 0 0 1 1 1 0 0  | 0
115 | 1 1 0 0 1 1 1 0 0  | 0
116 | 0 0 1 0 1 1 1 0 0  | 0
117 | 1 0 1 0 1 1 1 0 0  | 0
118 | 0 1 1 0 1 1 1 0 0  | 0
119 | 1 1 1 0 1 1 1 0 0  | 0
120 | 0 0 0 1 1 1 1 0 0  | 0
121 | 1 0 0 1 1 1 1 0 0  | 0
122 | 0 1 0 1 1 1 1 0 0  | 0
123 | 1 1 0 1 1 1 1 0 0  | 0
124 | 0 0 1 1 1 1 1 0 0  | 0
125 | 1 0 1 1 1 1 1 0 0  | 0
126 | 0 1 1 1 1 1 1 0 0  | 0
127 | 1 1 1 1 1 1 1 0 0  | 0
128 | 0 0 0 0 0 0 0 1 0  | 0
129 | 1 0 0 0 0 0 0 1 0  | 0
130 | 0 1 0 0 0 0 0 1 0  | 0
131 | 1 1 0 0 0 0 0 1 0  | 0
132 | 0 0 1 0 0 0 0 1 0  | 0
133 | 1 0 1 0 0 0 0 1 0  | 0
134 | 0 1 1 0 0 0 0 1 0  | 0
135 | 1 1 1 0 0 0 0 1 0  | 0
136 | 0 0 0 1 0 0 0 1 0  | 0
137 | 1 0 0 1 0 0 0 1 0  | 0
138 | 0 1 0 1 0 0 0 1 0  | 0
139 | 1 1 0 1 0 0 0 1 0  | 0
140 | 0 0 1 1 0 0 0 1 0  | 0
141 | 1 0 1 1 0 0 0 1 0  | 0
142 | 0 1 1 1 0 0 0 1 0  | 0
143 | 1 1 1 1 0 0 0 1 0  | 0
144 | 0 0 0 0 1 0 0 1 0  | 0
145 | 1 0 0 0 1 0 0 1 0  | 0
146 | 0 1 0 0 1 0 0 1 0  | 0
147 | 1 1 0 0 1 0 0 1 0  | 0
148 | 0 0 1 0 1 0 0 1 0  | 0
149 | 1 0 1 0 1 0 0 1 0  | 0
150 | 0 1 1 0 1 0 0 1 0  | 0
151 | 1 1 1 0 1 0 0 1 0  | 0
152 | 0 0 0 1 1 0 0 1 0  | 0
153 | 1 0 0 1 1 0 0 1 0  | 0
154 | 0 1 0 1 1 0 0 1 0  | 0
155 | 1 1 0 1 1 0 0 1 0  | 0
156 | 0 0 1 1 1 0 0 1 0  | 0
157 | 1 0 1 1 1 0 0 1 0  | 0
158 | 0 1 1 1 1 0 0 1 0  | 0
159 | 1 1 1 1 1 0 0 1 0  | 0
160 | 0 0 0 0 0 1 0 1 0  | 0
161 | 1 0 0 0 0 1 0 1 0  | 0
162 | 0 1 0 0 0 1 0 1 0  | 0
163 | 1 1 0 0 0 1 0 1 0  | 0
164 | 0 0 1 0 0 1 0 1 0  | 0
165 | 1 0 1 0 0 1 0 1 0  | 0
166 | 0 1 1 0 0 1 0 1 0  | 0
167 | 1 1 1 0 0 1 0 1 0  | 0
168 | 0 0 0 1 0 1 0 1 0  | 0
169 | 1 0 0 1 0 1 0 1 0  | 0
170 | 0 1 0 1 0 1 0 1 0  | 0
171 | 1 1 0 1 0 1 0 1 0  | 0
172 | 0 0 1 1 0 1 0 1 0  | 0
173 | 1 0 1 1 0 1 0 1 0  | 0
174 | 0 1 1 1 0 1 0 1 0  | 0
175 | 1 1 1 1 0 1 0 1 0  | 0
176 | 0 0 0 0 1 1 0 1 0  | 0
177 | 1 0 0 0 1 1 0 1 0  | 0
178 | 0 1 0 0 1 1 0 1 0  | 0
179 | 1 1 0 0 1 1 0 1 0  | 0
180 | 0 0 1 0 1 1 0 1 0  | 0
181 | 1 0 1 0 1 1 0 1 0  | 0
182 | 0 1 1 0 1 1 0 1 0  | 0
183 | 1 1 1 0 1 1 0 1 0  | 0
184 | 0 0 0 1 1 1 0 1 0  | 0
185 | 1 0 0 1 1 1 0 1 0  | 0
186 | 0 1 0 1 1 1 0 1 0  | 0
187 | 1 1 0 1 1 1 0 1 0  | 0
188 | 0 0 1 1 1 1 0 1 0  | 0
189 | 1 0 1 1 1 1 0 1 0  | 0
190 | 0 1 1 1 1 1 0 1 0  | 0
191 | 1 1 1 1 1 1 0 1 0  | 0
192 | 0 0 0 0 0 0 1 1 0  | 0
193 | 1 0 0 0 0 0 1 1 0  | 0
194 | 0 1 0 0 0 0 1 1 0  | 0
195 | 1 1 0 0 0 0 1 1 0  | 0
196 | 0 0 1 0 0 0 1 1 0  | 0
197 | 1 0 1 0 0 0 1 1 0  | 0
198 | 0 1 1 0 0 0 1 1 0  | 0
199 | 1 1 1 0 0 0 1 1 0  | 0
200 | 0 0 0 1 0 0 1 1 0  | 0
201 | 1 0 0 1 0 0 1 1 0  | 0
202 | 0 1 0 1 0 0 1 1 0  | 0
203 | 1 1 0 1 0 0 1 1 0  | 0
204 | 0 0 1 1 0 0 1 1 0  | 0
205 | 1 0 1 1 0 0 1 1 0  | 0
206 | 0 1 1 1 0 0 1 1 0  | 0
207 | 1 1 1 1 0 0 1 1 0  | 0
208 | 0 0 0 0 1 0 1 1 0  | 0
209 | 1 0 0 0 1 0 1 1 0  | 0
210 | 0 1 0 0 1 0 1 1 0  | 0
211 | 1 1 0 0 1 0 1 1 0  | 0
212 | 0 0 1 0 1 0 1 1 0  | 0
213 | 1 0 1 0 1 0 1 1 0  | 0
214 | 0 1 1 0 1 0 1 1 0  | 0
215 | 1 1 1 0 1 0 1 1 0  | 0
216 | 0 0 0 1 1 0 1 1 0  | 0
217 | 1 0 0 1 1 0 1 1 0  | 0
218 | 0 1 0 1 1 0 1 1 0  | 0
219 | 1 1 0 1 1 0 1 1 0  | 0
220 | 0 0 1 1 1 0 1 1 0  | 0
221 | 1 0 1 1 1 0 1 1 0  | 0
222 | 0 1 1 1 1 0 1 1 0  | 0
223 | 1 1 1 1 1 0 1 1 0  | 0
224 | 0 0 0 0 0 1 1 1 0  | 0
225 | 1 0 0 0 0 1 1 1 0  | 0
226 | 0 1 0 0 0 1 1 1 0  | 0
227 | 1 1 0 0 0 1 1 1 0  | 0
228 | 0 0 1 0 0 1 1 1 0  | 0
229 | 1 0 1 0 0 1 1 1 0  | 0
230 | 0 1 1 0 0 1 1 1 0  | 0
231 | 1 1 1 0 0 1 1 1 0  | 0
232 | 0 0 0 1 0 1 1 1 0  | 0
233 | 1 0 0 1 0 1 1 1 0  | 0
234 | 0 1 0 1 0 1 1 1 0  | 0
235 | 1 1 0 1 0 1 1 1 0  | 0
236 | 0 0 1 1 0 1 1 1 0  | 0
237 | 1 0 1 1 0 1 1 1 0  | 0
238 | 0 1 1 1 0 1 1 1 0  | 0
239 | 1 1 1 1 0 1 1 1 0  | 0
240 | 0 0 0 0 1 1 1 1 0  | 0
241 | 1 0 0 0 1 1 1 1 0  | 0
242 | 0 1 0 0 1 1 1 1 0  | 0
243 | 1 1 0 0 1 1 1 1 0  | 0
244 | 0 0 1 0 1 1 1 1 0  | 0
245 | 1 0 1 0 1 1 1 1 0  | 0
246 | 0 1 1 0 1 1 1 1 0  | 0
247 | 1 1 1 0 1 1 1 1 0  | 0
248 | 0 0 0 1 1 1 1 1 0  | 0
249 | 1 0 0 1 1 1 1 1 0  | 0
250 | 0 1 0 1 1 1 1 1 0  | 0
251 | 1 1 0 1 1 1 1 1 0  | 0
252 | 0 0 1 1 1 1 1 1 0  | 0
253 | 1 0 1 1 1 1 1 1 0  | 0
254 | 0 1 1 1 1 1 1 1 0  | 0
255 | 1 1 1 1 1 1 1 1 0  | 0
256 | 0 0 0 0 0 0 0 0 1  | 1
257 | 1 0 0 0 0 0 0 0 1  | 0
258 | 0 1 0 0 0 0 0 0 1  | 0
259 | 1 1 0 0 0 0 0 0 1  | 0
260 | 0 0 1 0 0 0 0 0 1  | 0
261 | 1 0 1 0 0 0 0 0 1  | 0
262 | 0 1 1 0 0 0 0 0 1  | 0
263 | 1 1 1 0 0 0 0 0 1  | 0
264 | 0 0 0 1 0 0 0 0 1  | 1
265 | 1 0 0 1 0 0 0 0 1  | 0
266 | 0 1 0 1 0 0 0 0 1  | 0
267 | 1 1 0 1 0 0 0 0 1  | 0
268 | 0 0 1 1 0 0 0 0 1  | 1
269 | 1 0 1 1 0 0 0 0 1  | 1
270 | 0 1 1 1 0 0 0 0 1  | 1
271 | 1 1 1 1 0 0 0 0 1  | 1
272 | 0 0 0 0 1 0 0 0 1  | 0
273 | 1 0 0 0 1 0 0 0 1  | 0
274 | 0 1 0 0 1 0 0 0 1  | 1
275 | 1 1 0 0 1 0 0 0 1  | 0
276 | 0 0 1 0 1 0 0 0 1  | 0
277 | 1 0 1 0 1 0 0 0 1  | 1
278 | 0 1 1 0 1 0 0 0 1  | 1
279 | 1 1 1 0 1 0 0 0 1  | 1
280 | 0 0 0 1 1 0 0 0 1  | 0
281 | 1 0 0 1 1 0 0 0 1  | 0
282 | 0 1 0 1 1 0 0 0 1  | 0
283 | 1 1 0 1 1 0 0 0 1  | 1
284 | 0 0 1 1 1 0 0 0 1  | 1
285 | 1 0 1 1 1 0 0 0 1  | 1
286 | 0 1 1 1 1 0 0 0 1  | 0
287 | 1 1 1 1 1 0 0 0 1  | 0
288 | 0 0 0 0 0 1 0 0 1  | 1
289 | 1 0 0 0 0 1 0 0 1  | 0
290 | 0 1 0 0 0 1 0 0 1  | 0
291 | 1 1 0 0 0 1 0 0 1  | 0
292 | 0 0 1 0 0 1 0 0 1  | 0
293 | 1 0 1 0 0 1 0 0 1  | 1
294 | 0 1 1 0 0 1 0 0 1  | 0
295 | 1 1 1 0 0 1 0 0 1  | 1
296 | 0 0 0 1 0 1 0 0 1  | 1
297 | 1 0 0 1 0 1 0 0 1  | 1
298 | 0 1 0 1 0 1 0 0 1  | 0
299 | 1 1 0 1 0 1 0 0 1  | 0
300 | 0 0 1 1 0 1 0 0 1  | 1
301 | 1 0 1 1 0 1 0 0 1  | 1
302 | 0 1 1 1 0 1 0 0 1  | 1
303 | 1 1 1 1 0 1 0 0 1  | 0
304 | 0 0 0 0 1 1 0 0 1  | 1
305 | 1 0 0 0 1 1 0 0 1  | 1
306 | 0 1 0 0 1 1 0 0 1  | 0
307 | 1 1 0 0 1 1 0 0 1  | 0
308 | 0 0 1 0 1 1 0 0 1  | 0
309 | 1 0 1 0 1 1 0 0 1  | 1
310 | 0 1 1 0 1 1 0 0 1  | 0
311 | 1 1 1 0 1 1 0 0 1  | 0
312 | 0 0 0 1 1 1 0 0 1  | 0
313 | 1 0 0 1 1 1 0 0 1  | 0
314 | 0 1 0 1 1 1 0 0 1  | 0
315 | 1 1 0 1 1 1 0 0 1  | 1
316 | 0 0 1 1 1 1 0 0 1  | 1
317 | 1 0 1 1 1 1 0 0 1  | 0
318 | 0 1 1 1 1 1 0 0 1  | 0
319 | 1 1 1 1 1 1 0 0 1  | 1
320 | 0 0 0 0 0 0 1 0 1  | 0
321 | 1 0 0 0 0 0 1 0 1  | 0
322 | 0 1 0 0 0 0 1 0 1  | 1
323 | 1 1 0 0 0 0 1 0 1  | 0
324 | 0 0 1 0 0 0 1 0 1  | 0
325 | 1 0 1 0 0 0 1 0 1  | 1
326 | 0 1 1 0 0 0 1 0 1  | 0
327 | 1 1 1 0 0 0 1 0 1  | 0
328 | 0 0 0 1 0 0 1 0 1  | 0
329 | 1 0 0 1 0 0 1 0 1  | 0
330 | 0 1 0 1 0 0 1 0 1  | 0
331 | 1 1 0 1 0 0 1 0 1  | 0
332 | 0 0 1 1 0 0 1 0 1  | 0
333 | 1 0 1 1 0 0 1 0 1  | 0
334 | 0 1 1 1 0 0 1 0 1  | 1
335 | 1 1 1 1 0 0 1 0 1  | 0
336 | 0 0 0 0 1 0 1 0 1  | 0
337 | 1 0 0 0 1 0 1 0 1  | 0
338 | 0 1 0 0 1 0 1 0 1  | 0
339 | 1 1 0 0 1 0 1 0 1  | 1
340 | 0 0 1 0 1 0 1 0 1  | 1
341 | 1 0 1 0 1 0 1 0 1  | 0
342 | 0 1 1 0 1 0 1 0 1  | 1
343 | 1 1 1 0 1 0 1 0 1  | 0
344 | 0 0 0 1 1 0 1 0 1  | 0
345 | 1 0 0 1 1 0 1 0 1  | 0
346 | 0 1 0 1 1 0 1 0 1  | 0
347 | 1 1 0 1 1 0 1 0 1  | 0
348 | 0 0 1 1 1 0 1 0 1  | 1
349 | 1 0 1 1 1 0 1 0 1  | 1
350 | 0 1 1 1 1 0 1 0 1  | 0
351 | 1 1 1 1 1 0 1 0 1  | 0
352 | 0 0 0 0 0 1 1 0 1  | 1
353 | 1 0 0 0 0 1 1 0 1  | 1
354 | 0 1 0 0 0 1 1 0 1  | 0
355 | 1 1 0 0 0 1 1 0 1  | 1
356 | 0 0 1 0 0 1 1 0 1  | 0
357 | 1 0 1 0 0 1 1 0 1  | 1
358 | 0 1 1 0 0 1 1 0 1  | 0
359 | 1 1 1 0 0 1 1 0 1  | 0
360 | 0 0 0 1 0 1 1 0 1  | 1
361 | 1 0 0 1 0 1 1 0 1  | 1
362 | 0 1 0 1 0 1 1 0 1  | 0
363 | 1 1 0 1 0 1 1 0 1  | 0
364 | 0 0 1 1 0 1 1 0 1  | 1
365 | 1 0 1 1 0 1 1 0 1  | 1
366 | 0 1 1 1 0 1 1 0 1  | 1
367 | 1 1 1 1 0 1 1 0 1  | 0
368 | 0 0 0 0 1 1 1 0 1  | 0
369 | 1 0 0 0 1 1 1 0 1  | 1
370 | 0 1 0 0 1 1 1 0 1  | 1
371 | 1 1 0 0 1 1 1 0 1  | 0
372 | 0 0 1 0 1 1 1 0 1  | 0
373 | 1 0 1 0 1 1 1 0 1  | 0
374 | 0 1 1 0 1 1 1 0 1  | 0
375 | 1 1 1 0 1 1 1 0 1  | 1
376 | 0 0 0 1 1 1 1 0 1  | 1
377 | 1 0 0 1 1 1 1 0 1  | 1
378 | 0 1 0 1 1 1 1 0 1  | 1
379 | 1 1 0 1 1 1 1 0 1  | 1
380 | 0 0 1 1 1 1 1 0 1  | 1
381 | 1 0 1 1 1 1 1 0 1  | 1
382 | 0 1 1 1 1 1 1 0 1  | 0
383 | 1 1 1 1 1 1 1 0 1  | 0
384 | 0 0 0 0 0 0 0 1 1  | 0
385 | 1 0 0 0 0 0 0 1 1  | 0
386 | 0 1 0 0 0 0 0 1 1  | 1
387 | 1 1 0 0 0 0 0 1 1  | 0
388 | 0 0 1 0 0 0 0 1 1  | 0
389 | 1 0 1 0 0 0 0 1 1  | 1
390 | 0 1 1 0 0 0 0 1 1  | 1
391 | 1 1 1 0 0 0 0 1 1  | 0
392 | 0 0 0 1 0 0 0 1 1  | 0
393 | 1 0 0 1 0 0 0 1 1  | 1
394 | 0 1 0 1 0 0 0 1 1  | 1
395 | 1 1 0 1 0 0 0 1 1  | 1
396 | 0 0 1 1 0 0 0 1 1  | 1
397 | 1 0 1 1 0 0 0 1 1  | 0
398 | 0 1 1 1 0 0 0 1 1  | 1
399 | 1 1 1 1 0 0 0 1 1  | 1
400 | 0 0 0 0 1 0 0 1 1  | 1
401 | 1 0 0 0 1 0 0 1 1  | 0
402 | 0 1 0 0 1 0 0 1 1  | 1
403 | 1 1 0 0 1 0 0 1 1  | 0
404 | 0 0 1 0 1 0 0 1 1  | 0
405 | 1 0 1 0 1 0 0 1 1  | 0
406 | 0 1 1 0 1 0 0 1 1  | 0
407 | 1 1 1 0 1 0 0 1 1  | 0
408 | 0 0 0 1 1 0 0 1 1  | 0
409 | 1 0 0 1 1 0 0 1 1  | 1
410 | 0 1 0 1 1 0 0 1 1  | 0
411 | 1 1 0 1 1 0 0 1 1  | 0
412 | 0 0 1 1 1 0 0 1 1  | 0
413 | 1 0 1 1 1 0 0 1 1  | 0
414 | 0 1 1 1 1 0 0 1 1  | 1
415 | 1 1 1 1 1 0 0 1 1  | 1
416 | 0 0 0 0 0 1 0 1 1  | 0
417 | 1 0 0 0 0 1 0 1 1  | 1
418 | 0 1 0 0 0 1 0 1 1  | 0
419 | 1 1 0 0 0 1 0 1 1  | 1
420 | 0 0 1 0 0 1 0 1 1  | 0
421 | 1 0 1 0 0 1 0 1 1  | 0
422 | 0 1 1 0 0 1 0 1 1  | 0
423 | 1 1 1 0 0 1 0 1 1  | 1
424 | 0 0 0 1 0 1 0 1 1  | 1
425 | 1 0 0 1 0 1 0 1 1  | 0
426 | 0 1 0 1 0 1 0 1 1  | 0
427 | 1 1 0 1 0 1 0 1 1  | 0
428 | 0 0 1 1 0 1 0 1 1  | 1
429 | 1 0 1 1 0 1 0 1 1  | 1
430 | 0 1 1 1 0 1 0 1 1  | 1
431 | 1 1 1 1 0 1 0 1 1  | 0
432 | 0 0 0 0 1 1 0 1 1  | 0
433 | 1 0 0 0 1 1 0 1 1  | 0
434 | 0 1 0 0 1 1 0 1 1  | 1
435 | 1 1 0 0 1 1 0 1 1  | 0
436 | 0 0 1 0 1 1 0 1 1  | 1
437 | 1 0 1 0 1 1 0 1 1  | 0
438 | 0 1 1 0 1 1 0 1 1  | 0
439 | 1 1 1 0 1 1 0 1 1  | 0
440 | 0 0 0 1 1 1 0 1 1  | 0
441 | 1 0 0 1 1 1 0 1 1  | 0
442 | 0 1 0 1 1 1 0 1 1  | 1
443 | 1 1 0 1 1 1 0 1 1  | 1
444 | 0 0 1 1 1 1 0 1 1  | 1
445 | 1 0 1 1 1 1 0 1 1  | 1
446 | 0 1 1 1 1 1 0 1 1  | 0
447 | 1 1 1 1 1 1 0 1 1  | 0
448 | 0 0 0 0 0 0 1 1 1  | 0
449 | 1 0 0 0 0 0 1 1 1  | 0
450 | 0 1 0 0 0 0 1 1 1  | 1
451 | 1 1 0 0 0 0 1 1 1  | 0
452 | 0 0 1 0 0 0 1 1 1  | 0
453 | 1 0 1 0 0 0 1 1 1  | 1
454 | 0 1 1 0 0 0 1 1 1  | 0
455 | 1 1 1 0 0 0 1 1 1  | 1
456 | 0 0 0 1 0 0 1 1 1  | 0
457 | 1 0 0 1 0 0 1 1 1  | 1
458 | 0 1 0 1 0 0 1 1 1  | 1
459 | 1 1 0 1 0 0 1 1 1  | 0
460 | 0 0 1 1 0 0 1 1 1  | 1
461 | 1 0 1 1 0 0 1 1 1  | 1
462 | 0 1 1 1 0 0 1 1 1  | 0
463 | 1 1 1 1 0 0 1 1 1  | 0
464 | 0 0 0 0 1 0 1 1 1  | 1
465 | 1 0 0 0 1 0 1 1 1  | 0
466 | 0 1 0 0 1 0 1 1 1  | 0
467 | 1 1 0 0 1 0 1 1 1  | 0
468 | 0 0 1 0 1 0 1 1 1  | 1
469 | 1 0 1 0 1 0 1 1 1  | 0
470 | 0 1 1 0 1 0 1 1 1  | 0
471 | 1 1 1 0 1 0 1 1 1  | 0
472 | 0 0 0 1 1 0 1 1 1  | 1
473 | 1 0 0 1 1 0 1 1 1  | 1
474 | 0 1 0 1 1 0 1 1 1  | 1
475 | 1 1 0 1 1 0 1 1 1  | 0
476 | 0 0 1 1 1 0 1 1 1  | 0
477 | 1 0 1 1 1 0 1 1 1  | 0
478 | 0 1 1 1 1 0 1 1 1  | 0
479 | 1 1 1 1 1 0 1 1 1  | 0
480 | 0 0 0 0 0 1 1 1 1  | 0
481 | 1 0 0 0 0 1 1 1 1  | 0
482 | 0 1 0 0 0 1 1 1 1  | 0
483 | 1 1 0 0 0 1 1 1 1  | 1
484 | 0 0 1 0 0 1 1 1 1  | 0
485 | 1 0 1 0 0 1 1 1 1  | 1
486 | 0 1 1 0 0 1 1 1 1  | 1
487 | 1 1 1 0 0 1 1 1 1  | 0
488 | 0 0 0 1 0 1 1 1 1  | 0
489 | 1 0 0 1 0 1 1 1 1  | 0
490 | 0 1 0 1 0 1 1 1 1  | 1
491 | 1 1 0 1 0 1 1 1 1  | 1
492 | 0 0 1 1 0 1 1 1 1  | 1
493 | 1 0 1 1 0 1 1 1 1  | 0
494 | 0 1 1 1 0 1 1 1 1  | 0
495 | 1 1 1 1 0 1 1 1 1  | 0
496 | 0 0 0 0 1 1 1 1 1  | 0
497 | 1 0 0 0 1 1 1 1 1  | 0
498 | 0 1 0 0 1 1 1 1 1  | 0
499 | 1 1 0 0 1 1 1 1 1  | 0
500 | 0 0 1 0 1 1 1 1 1  | 0
501 | 1 0 1 0 1 1 1 1 1  | 0
502 | 0 1 1 0 1 1 1 1 1  | 0
503 | 1 1 1 0 1 1 1 1 1  | 0
504 | 0 0 0 1 1 1 1 1 1  | 0
505 | 1 0 0 1 1 1 1 1 1  | 0
506 | 0 1 0 1 1 1 1 1 1  | 0
507 | 1 1 0 1 1 1 1 1 1  | 0
508 | 0 0 1 1 1 1 1 1 1  | 0
509 | 1 0 1 1 1 1 1 1 1  | 0
510 | 0 1 1 1 1 1 1 1 1  | 0
511 | 1 1 1 1 1 1 1 1 1  | 0


